ID,리뷰어,리뷰날짜,리뷰텍스트
15,th** ,23.08.23,이번 가을 준비는 미쏘에서 해봤는데 특히나 이 자켓이 가장 마음에 들었어요! 고퀄리티에 괜찮은 가격으로 가성비와 가심비 모두 잡은 상품이였구 화면에서 보는 상품의 느낌 이미지 컬러 디자인이 모두 동일해서 생각했던 옷 그대로 배송받아서 직접 보고 산것 …더보기
15,th** ,23.11.05,"가을 나들이 잘 즐기다왔어요 나름 따뜻하긴한데 딱 가을 봄용인듯하고 겨울엔 좀 추울것같아요 
남자친구도 보자마자 아우터 예쁘다고 칭찬 해주더라구요  퀄리티는 백화점입점 상품답게 마감이나 재질 탄탄해요 구매후 실밥정리안한 옷 몇 안 되는데 그 중 하나에…더보기"
15,12** ,23.11.04,왼쪽은 그냥 카메라로 찍었을때 색감. 오른쪽은 실제 옷 색상과 가장 비슷한 색상이라 다시 찍었어요~! 실제보면 오른쪽보다 훨씬 채도높고 뽀용~한 라이트핑크색상입니다!! 받자마자 넘 예뻐서 입고 놀러나가고싶은 옷이네요ㅡ 저는 딱 핏되게 입고 싶어서 16…더보기
16,jy** ,20.10.25,"남자친구랑 커플로 입으려고 샀습니다 제가 데쥬에서 옷을 자주 사는데 전에 자켓을 샀다가 하자 있는게 와서 이번에 주문넣자마자 문의드렸더니 배송도 4일만에 오고 하자 없이 완벽하게 왔습니다 :)
남자친구는 남녀공용으로 샀고 저는 키가 작아서 이 자켓으로…더보기"
16,11** ,20.10.25,"1. 가격에 비해 퀄리티 굉장히 좋은 편이나 역시 싼티가 좀 남
2. 색감 핏 화면이랑 같음(내 체형에 오버핏 딱 맞음)
3. 이거랑 세트인 슬랙스 안 사는 걸 추천함(슬랙스랑 따로따로 입는 게 더 예쁨) 진짜 사고 싶으면 자켓만 사세요
4. 배송 개…더보기"
16,th** ,21.03.12,"배송 : 주말 포함 8일만에 도착
장점 :
1. 가격이 저렴하고 가성비가 좋은 편
2. 저렴한 가격에 비해 재질이나 마감도 괜찮음
3. 색감이 너무 밝지 않아 무난하게 매치가 잘됨

단점 : 
1. 10대들이 입기에는 좋겠지만 20대 중반부터는 싼티가…더보기"
16,th** ,21.02.09,"ㅠㅜ 대 만 족 170 50후
딱 이런 핏 찾고있았는데 사길 고민한 제가 후회스럽습니다..ㅠ 빨리 살걸 짱예뻐요 실제보다 말라보여요ㅠㅠ 팔뚝살커버되고 몸통이 그냥 전체적으로 얇아보여서 대 만 족"
16,ol** ,22.11.21,사진만 봐도 너무 사랑스럽지 않나요🥺 착용감도 편하고 세트와 롱부츠의 조합이 기대 이상이에요- 팔은 접어입으면 이쁘고 어깨뽕도 적당이 들어가있어서 외소한 분들이 보완하시기에 좋은 핏이에요:) 엉덩이 덮는 기장으로 여러 핏을 연출할 수 있어요!
17,ye** ,23.05.21,"색상 완전 하얀색,,,
뭐라도 묻을까봐 조심하면서 입어야하는 느낌이라 자주 입을 것 같진 않아요.
생각보다 한여름엔 못 입을 소재감과 무게감이라서 이미 입을 시기를 지난 느낌이에요.
초가을 쯤에 입어볼게요,,,
그래도 옷은 예뻐요. 살찐 내 몸이 문제…더보기"
17,hy** ,23.04.12,"트위드 하면 로엠 ..❤️ 로엠 하면 트위드!!
항상 트위드를 구매할 때 날씨가 따뜻해지면 못 입을까 걱정했었는데, 반팔 트위드라니.,,, 걱정 없이 구매할 수 있어서 더 좋은 것 같아요! 기장감이나 핏도 적당하니 예쁘고, 무엇보다 디테일이 하나하나 …더보기"
17,05** ,23.10.04,누런느낌 전혀 없고 단추도 예뻐요! 키랑 체구가 작은데도 단추 다 잠갔을 때 처음엔 좀 작은가? 싶을 정도로 딱 맞았어요 근데 입다보면 작은 느낌 없이 너뮤 예뻐요!!! 격식있는 자리에 입기 좋은데 실밥이 군데군데 많아서 정리해줘야해요 내년에도 이런 …더보기
